epoch,lr,train_loss,val_loss,seg_width_mae,file_width_mae,pos_mae,pos_rmse,pos_maxae
1,0.0004999790102556317,0.011323352514407001,0.038346792284016294,1.8372582007791394,1.832550842724149,9.38280802708171,11.039202238305613,19.874469949469017
2,0.0004999160446190116,0.003251824942207127,0.0006460838020391867,0.20306713558803094,0.20038746209371666,0.956110650781007,1.173750508507896,3.027938185178016
3,0.0004998111138789773,0.0015117589152902342,0.009732723253491882,0.988674569352765,0.9878576014533875,4.636875457174395,4.673106991084749,5.861667560396995
4,0.0004996642360148707,0.0021086016639670197,0.00016718748323162408,0.10081500650566315,0.09524128221330187,0.5196465737384938,0.622224439462403,1.4483050454200281
5,0.000499475436193458,0.0017727197066222985,0.005818524686227962,0.730808407346779,0.7331346766910855,3.61462778739778,3.7650992478732057,5.585917517289147
6,0.0004992447467646165,0.0019414538439939183,0.0011638187265179173,0.3103629896573931,0.31074242909749356,1.4715415630021946,1.59251731161935,3.6425828842927217
7,0.0004989722072557923,0.0015151800246211982,0.0013887360793683639,0.33286117616100847,0.33358070286493463,1.543292576247412,1.7060567299050615,2.8409739919248125
8,0.0004986578643652271,0.0012051342039023374,0.005031601826129394,0.6793327220132418,0.6815046459152585,3.374912883726955,3.5236013386111846,5.334561087435418
9,0.0004983017719539571,0.0017516118623008903,0.0027611623901516694,0.46466911173312464,0.46646840016047153,2.104403904304151,2.318271573817108,3.824112645196294
10,0.0004979039910365836,0.0013302571934678327,0.0006683135760684768,0.21883947158528266,0.2171945317207821,1.0713457560123751,1.2490565180631812,2.7292006891027825
11,0.0004974645897708192,0.0011725407618879365,0.0009292381354303003,0.3012620979380385,0.29855396206416784,1.5114273622890695,1.5840246108648801,2.4071705925563833
12,0.0004969836434458087,0.0010210831170188739,0.003789221018739915,0.5831667129124436,0.5850951973597209,2.878199588592188,3.0320931148974317,5.0040456473821
13,0.000496461234469229,0.0008594977985094148,0.00010463632722102349,0.07110662995097793,0.06663960067052688,0.32776604469539705,0.4109985250176936,1.327058222138362
