epoch,lr,train_loss,val_loss,seg_mae,seg_rmse,seg_maxae,file_mae,file_rmse,file_maxae
1,0.0019513053477980928,0.004657393414604698,0.001101670967967965,0.4155802347949732,0.4845602132977223,1.2800979614257812,0.5488961079763987,0.8663646504646895,4.244496239556206
2,0.0018095395077959316,0.0007904479990773427,0.0009493072865909675,0.3456312117175521,0.4498059639382157,1.1806583404541016,0.5097157284570119,0.8384695569053596,3.778742260403103
3,0.0015885792438609964,0.00048523952672227685,0.0003198558008980994,0.24331189538830908,0.26109519229366207,0.705108642578125,0.414078923747653,0.7417461974464619,3.7947688632541237
4,0.0013100536861479228,0.0004611946110626182,0.0003491573578561567,0.24407631437355112,0.27279250957158596,0.6852512359619141,0.41196898566351997,0.7591668518656189,3.8686527676052513
5,0.0010012268568473372,0.0003087614259919572,0.0003672541372027545,0.23826463868684858,0.2797726103640549,0.65826416015625,0.42233602342151466,0.7417957532743252,3.6690457661946603
6,0.0006923288777342249,0.00029181107671587736,0.00023214519240497908,0.17837974735509568,0.22243427096384535,0.6314373016357422,0.3516593300728572,0.7364767510718515,3.8661704593234596
7,0.0004135968352229509,0.00023606590990879527,0.0003271512052642465,0.2263506372398305,0.2640560092928541,0.5104446411132812,0.4113063763815258,0.7369974683156811,3.686855104234482
8,0.00019231496367485342,0.00018984924060248793,0.00010252919774102678,0.13685209951668142,0.1478241867770902,0.51416015625,0.3177581051417761,0.7015513094825939,3.7258692847357864
9,5.014387443851698e-05,0.00016277295483037147,0.00020501015299733834,0.2036595010311804,0.2090304508996861,0.4152374267578125,0.38092822653906677,0.7249348988401102,3.7633317311604806
10,1.0002642926195034e-06,0.0001615271821546155,0.000123329943352193,0.1524544408388227,0.16212722791253878,0.5144214630126953,0.33193945710621187,0.7061808021651819,3.7343629201253243
