epoch,lr,train_loss,val_loss,seg_mae,seg_rmse,seg_maxae,file_mae,file_rmse,file_maxae
1,0.001952861780188192,0.011615993123939428,0.01780155882517868,1.7834761699783468,1.9464408887559244,5.444135665893555,1.7871415046283174,1.9421330583366498,3.214993476867676
2,0.0018125166685175503,0.0017341786150086604,0.0014467333117336749,0.4352425949595799,0.5548894044911455,2.4309616088867188,0.43515945748677326,0.5499421706001564,1.246034860610962
3,0.0015926857076796037,0.0012498920046350663,0.00015874489571759913,0.1385599720143826,0.18380701575056235,1.3824901580810547,0.12853195826212577,0.1621826806903892,0.4309260050455741
4,0.001314887483773538,0.0012764181106819943,0.0005933508847048071,0.27390270812489165,0.35535957605919316,1.1528606414794922,0.2667219701267423,0.3462088753976314,0.8169011010064011
5,0.0010063148224893161,0.0008859583121397089,9.465177067668095e-05,0.09872257598092622,0.14193076785468647,1.299875259399414,0.09381358105038845,0.12726631192349835,0.4066355228424072
6,0.0006971729658655898,0.0006551772610030391,6.826168393213563e-05,0.08849875503611342,0.12053152883436734,1.0554637908935547,0.0829038317619809,0.10509244356808757,0.22565555572509766
7,0.00041772287274665737,0.0006119401168573506,0.0004924168771080603,0.2927854328512031,0.32372683345261305,0.7429008483886719,0.2892888539934916,0.31854871175601124,0.5460422039031982
8,0.00019531906529028712,0.00046956388955031475,6.825725375794344e-05,0.08974056600410248,0.12052763949330628,1.0437355041503906,0.08404499246960608,0.10710324852920586,0.23969340324401855
9,5.173197774875262e-05,0.00048486221907350285,0.00014726556326201726,0.12895326079609237,0.17703652388991556,0.9625282287597656,0.12459860154560637,0.1681740795513761,0.3573272228240967
10,1.0169146806846369e-06,0.0004264473946512686,0.00012009056876892242,0.11684079259355491,0.15986989000942686,0.9894580841064453,0.11079838487837058,0.15022742504859454,0.31906580924987793
11,0.0019881451410547458,0.000793504327418068,0.0010183981541439751,0.39584352145685214,0.46555501819739475,1.4150447845458984,0.3939778786235384,0.46120475381240283,1.014337751600479
12,0.0019519754096095417,0.0007850522882618942,0.001799869163410094,0.5708748804074582,0.6189173864948726,1.119394302368164,0.5700759737453764,0.6165820126795477,1.0586388111114502
13,0.001892377195813909,0.0006766724810743037,0.0007998782648513459,0.398767636201092,0.4125952231313324,0.7273502349853516,0.3979765756168061,0.4111071051408999,0.6445260047912598
