Position_mm,FFT_Width,Filename
180.0,28.93550486328443,-449.csv
180.1,28.928147862647034,-448.csv
180.2,28.907554316119956,-447.csv
180.3,28.869135066715117,-446.csv
180.4,28.842885169961036,-445.csv
180.5,28.805037081701812,-444.csv
180.6,28.77422746391912,-443.csv
180.7,28.742676979195796,-442.csv
180.8,28.705026652966996,-441.csv
180.9,28.681274514275806,-440.csv
181.0,28.632106301816666,-439.csv
181.1,28.601336025732458,-438.csv
181.2,28.563165685736458,-437.csv
181.3,28.529837097046855,-436.csv
181.4,28.504360214042663,-435.csv
181.5,28.462551488922763,-434.csv
181.6,28.44032973716015,-433.csv
181.7,28.388152255244055,-432.csv
181.8,28.358057115839003,-431.csv
181.9,28.335868796412477,-430.csv
182.0,28.307786549047435,-429.csv
182.1,28.263076516932458,-428.csv
182.2,28.246097190474572,-427.csv
182.3,28.21953570265378,-426.csv
182.4,28.19041436915002,-425.csv
182.5,28.17229291429677,-424.csv
182.6,28.122416495579262,-423.csv
182.7,28.122416495579262,-422.csv
182.8,28.122416495579262,-421.csv
182.9,28.04976150676235,-420.csv
183.0,28.023405959518122,-419.csv
183.1,27.99539513649623,-418.csv
183.2,27.95619442468822,-417.csv
183.3,27.945305381184504,-416.csv
183.4,27.89471326073273,-415.csv
183.5,27.862058214417004,-414.csv
183.6,27.83021327064325,-413.csv
183.7,27.8002759858896,-412.csv
183.8,27.782140653339034,-411.csv
183.9,27.747473077025983,-410.csv
184.0,27.71755560904927,-409.csv
184.1,27.680871915378113,-408.csv
184.2,27.65258682738055,-407.csv
184.3,27.622554755624716,-406.csv
184.4,27.597015464111056,-405.csv
184.5,27.57378122989008,-404.csv
184.6,27.556908948896755,-403.csv
184.7,27.525113201405688,-402.csv
184.8,27.49629409310587,-401.csv
184.9,27.46681684561683,-400.csv
185.0,27.43662789139058,-399.csv
185.1,27.409392835001395,-398.csv
185.2,27.384133180222975,-397.csv
185.3,27.35567683796738,-396.csv
185.4,27.327832469061846,-395.csv
185.5,27.30782142250124,-394.csv
185.6,27.269780019840965,-393.csv
185.7,27.23984022560179,-392.csv
185.8,27.20990283001394,-391.csv
185.9,27.17930815893277,-390.csv
186.0,27.149735287869568,-389.csv
186.1,27.115683185826818,-388.csv
186.2,27.081822893940995,-387.csv
186.3,27.049893634346347,-386.csv
186.4,27.0195405150935,-385.csv
186.5,26.988979128802384,-384.csv
186.6,26.964020086980174,-383.csv
186.7,26.931421619839075,-382.csv
186.8,26.90930002406735,-381.csv
186.9,26.88904555774349,-380.csv
187.0,26.855515850316976,-379.csv
187.1,26.829438403645312,-378.csv
187.2,26.80982708812358,-377.csv
187.3,26.782959839423018,-376.csv
187.4,26.754964832561107,-375.csv
187.5,26.74160333570515,-374.csv
187.6,26.7099481508112,-373.csv
187.7,26.682322310381583,-372.csv
187.8,26.65786049513162,-371.csv
187.9,26.632770831623283,-370.csv
188.0,26.60838012456456,-369.csv
188.1,26.597458674635398,-368.csv
188.2,26.557851299648544,-367.csv
188.3,26.537804732973697,-366.csv
188.4,26.504604776281795,-365.csv
188.5,26.486333328928215,-364.csv
188.6,26.446737350340516,-363.csv
188.7,26.417167984305465,-362.csv
188.8,26.38572484827765,-361.csv
188.9,26.355861030167418,-360.csv
189.0,26.329361927983097,-359.csv
189.1,26.297991099819416,-358.csv
189.2,26.270552870559666,-357.csv
189.3,26.241878175430557,-356.csv
189.4,26.21882404502571,-355.csv
189.5,26.192663902318873,-354.csv
189.6,26.16240642271091,-353.csv
189.7,26.13918811347329,-352.csv
189.8,26.111233332535043,-351.csv
189.9,26.086572995514004,-350.csv
190.0,26.054276998157974,-349.csv
190.1,26.02612542839603,-348.csv
190.2,26.019702520323612,-347.csv
190.3,25.9706139678894,-346.csv
190.4,25.943162486683054,-345.csv
190.5,25.915867157838974,-344.csv
190.6,25.884672280834927,-343.csv
190.7,25.856420061407,-342.csv
190.8,25.8270676480725,-341.csv
190.9,25.797435010885206,-340.csv
191.0,25.7665812519523,-339.csv
191.1,25.74641905619491,-338.csv
191.2,25.707011432592466,-337.csv
191.3,25.703283523247144,-336.csv
191.4,25.652167674437724,-335.csv
191.5,25.62877278198451,-334.csv
191.6,25.60670886262151,-333.csv
191.7,25.580834900666837,-332.csv
191.8,25.55932255923053,-331.csv
191.9,25.538061290678094,-330.csv
192.0,25.5102411832016,-329.csv
192.1,25.486839867077602,-328.csv
192.2,25.464892707290478,-327.csv
192.3,25.460544805934433,-326.csv
192.4,25.413092844665627,-325.csv
192.5,25.381967793019186,-324.csv
192.6,25.36421540822787,-323.csv
192.7,25.34442312393541,-322.csv
192.8,25.319180292934433,-321.csv
192.9,25.294853619319504,-320.csv
193.0,25.25640753375915,-319.csv
193.1,25.244593955970736,-318.csv
193.2,25.21897071286719,-317.csv
193.3,25.205086852894155,-316.csv
193.4,25.16431284941541,-315.csv
193.5,25.147826713829446,-314.csv
193.6,25.11891402973743,-313.csv
193.7,25.082210413827834,-312.csv
193.8,25.07523178941906,-311.csv
193.9,25.031835465664543,-310.csv
194.0,25.006529585376132,-309.csv
194.1,24.991310105843226,-308.csv
194.2,24.954904484853532,-307.csv
194.3,24.93634782136855,-306.csv
194.4,24.90928039301769,-305.csv
194.5,24.886438405512596,-304.csv
194.6,24.866595300299092,-303.csv
194.7,24.84132402229999,-302.csv
