epoch,lr,train_loss,val_loss,seg_width_mae,file_width_mae,pos_mae,pos_rmse,pos_maxae
1,0.0004999750205373112,0.02440901547816642,0.010978273768848348,0.8993084586669351,0.8957508054990617,4.737132239861396,6.029915054621678,13.602019366245827
2,0.0004999000872429063,0.0020896868313650305,0.0007307291400529635,0.23693553978037613,0.23605130441605102,1.1791311245180396,1.3460658628970845,2.8479267478946895
3,0.0004997752153967319,0.002238933907548903,0.00028230891274407975,0.13142449833522332,0.12852303315722757,0.6234909672472833,0.7512229656855559,1.7115973710645562
4,0.0004996004304619031,0.001871644928644249,0.0005641513468456133,0.22473125814277434,0.2241895201092674,1.1307649119846475,1.2213133389168174,2.2763829292499054
5,0.000499375768079512,0.0013957915225804509,0.002296259641978089,0.47867798582415716,0.47971502735501237,2.4225450637083084,2.4805554273282713,3.638912456113246
6,0.0004991012740613593,0.0017836597902062886,0.00015573548316581842,0.09841542154829079,0.09651188256248595,0.49707263437847016,0.6024812418171202,1.493643048222907
7,0.000498777004380613,0.0017631244106885836,0.001141632902332599,0.2980500069734092,0.297067157616691,1.3178366109070212,1.4450392743549973,2.167585473631277
8,0.0004984030251603947,0.0016015978735242282,0.002184986436595949,0.4464615394021863,0.44638560469188393,2.137056697668859,2.186337247362617,3.8434110113996667
9,0.0004979794126602961,0.0017357695874949237,0.011463184138133286,1.0240262290027653,1.0238701840052529,4.570821015275308,4.6798708491775844,6.2674914270697855
10,0.0004975062532608284,0.001736335052052199,0.009429669822566211,0.9275484062800897,0.9268827950765215,4.141975121191569,4.255821821213782,5.528684954677374
11,0.0004969836434458087,0.0010616498758377897,0.013717022942048367,1.1610943001007366,1.1613962623051235,5.34290530164453,5.3959050277442175,6.717634576795319
12,0.0004964116897826847,0.0011687528961632006,0.0023687436869890195,0.48488596220996893,0.4827953056683616,2.3412140978290368,2.399698078938973,3.917026388678721
13,0.000495790508900805,0.0010522469488084053,0.000476536671829597,0.17982114809695807,0.17691547934971155,0.804322778433529,0.9621081855603194,1.8013426518541564
14,0.0004951202274676362,0.001111810746644238,0.0011757325259185282,0.3225693101080779,0.3210708965195549,1.5527131293002572,1.637809265849239,2.6550859363150607
15,0.000494400982162934,0.0009727394914252658,0.00027092195224238854,0.14243477304405142,0.14064836426386748,0.6778092744019184,0.7633477767622008,1.696951057459529
16,0.0004936329196508715,0.0007584052566588831,0.002246641009397561,0.45946965930617856,0.46072408437728896,2.227994018528001,2.2704989446641366,3.2137934946082396
17,0.0004928161965501337,0.0006968875038941765,0.00034790479895771944,0.16771111978548708,0.16629900118661292,0.868288022133135,0.9734628503878829,2.2547886232650285
18,0.0004919509794019793,0.0006031976305902841,0.002456115394456434,0.49281131218526963,0.49134339150928313,2.3447485519074496,2.3684189129378916,2.996920935395167
19,0.0004910374446362816,0.0009668365110911227,0.0013788987375974273,0.3669775780116286,0.3666696644207787,1.8056760728570331,1.8416024091035286,2.53733381859783
20,0.0004900757785355516,0.0007587609181399541,0.0010371070342460999,0.28669450884667513,0.28708870138440806,1.3342124746759234,1.4919367036260534,2.707048174458947
21,0.0004890661771969524,0.0007566002384758407,0.0018610236401969968,0.3610420895514087,0.356703912795536,2.2418016962305605,2.9790491714094305,6.999973349059758
22,0.0004880088464923124,0.0008079779206154427,0.0006694335231692671,0.22977082083158404,0.22916707875236642,1.0590135190227608,1.1838106679324507,2.2201208749721104
23,0.00048690400202614474,0.0007388527881511561,0.0009084390160827854,0.2972992536063506,0.2952422082613386,1.5234789430428413,1.613896556944075,2.538105155843766
24,0.0004857518690916833,0.0008381806207080892,0.0017563359709630642,0.39751691684544643,0.396012638674842,2.2463996330275937,2.599744756189058,5.7106355810436185
25,0.0004845526826249414,0.0008458295862929767,0.0009347228028715771,0.2981900010153512,0.29750845046270447,1.4538569867348783,1.496952366907812,2.2762302891807735
26,0.0004833066871568056,0.0011871786973211044,0.0014028169407028373,0.29094075710974004,0.289603712520902,1.3193465525401955,1.657876871474495,3.1276268179495332
27,0.0004820141367631723,0.0008750238411038732,0.00018238695562767108,0.09982728512487679,0.09770301061963284,0.48235965152494287,0.5766846278917378,1.300480575794552
28,0.00048067529501313807,0.000594533961279424,0.00012066543340807015,0.08447320438991084,0.08099879465405899,0.44554684938544115,0.588292336928097,1.8140379126374455
29,0.0004792904349152543,0.0009027555739678567,0.0006583998777803521,0.24294281897143782,0.24039260330654325,1.1693895855643694,1.2362567783326677,2.1691571016633873
30,0.00047785983886185684,0.0006269625337259466,0.0005845142475103037,0.20251973767146886,0.20017858773942973,0.8818318038476659,1.001576866036884,1.938186130766951
