Filename,Position_mm,Segment_Count,Teacher_Width,Student_Width,BaselineA_Width,BaselineB_Width,Teacher_Pos_Pred,Student_Pos_Pred,BaselineA_Pos_Pred,BaselineB_Pos_Pred,Teacher_Error_mm,Student_Error_mm,BaselineA_Error_mm,BaselineB_Error_mm,Student_vs_Teacher_WidthErr,BaselineA_vs_Teacher_WidthErr,BaselineB_vs_Teacher_WidthErr,BaselineA_Latency_ms,BaselineB_Latency_ms
-449.csv,180.0,8,28.93550486328443,28.782599210739136,28.73414712766227,29.250233573144413,180.09177704132807,180.56412635202804,180.71486926587815,179.13533725877383,0.09177704132807207,0.5641263520280404,0.7148692658781499,-0.8646627412261694,-0.15290565254529298,-0.2013577356221603,0.3147287098599847,13.744500000029802,8.923699999968449
-429.csv,182.0,9,28.307786549047435,28.265233781602646,28.255382233891172,26.634491588848967,182.06398942630182,182.20091072546788,182.23266969859625,187.7838966025062,0.06398942630181637,0.20091072546787814,0.2326696985962542,5.783896602506189,-0.0425527674447892,-0.05240431515626298,-1.6732949601984686,3.982700000051409,11.403999999856751
-416.csv,183.3,9,27.945305381184504,27.88791953192817,27.885787495208184,26.916229871731645,183.2439277336383,183.43359073061472,183.4406525209007,186.7701109872144,-0.05607226636172413,0.1335907306147135,0.14065252090068725,3.470110987214383,-0.05738584925633461,-0.05951788597631946,-1.0290755094528592,6.243799999992916,12.021400000094218
-409.csv,184.0,9,27.71755560904927,27.69984202914768,27.658336486474155,27.028518814664103,184.00136077636768,184.0608026203833,184.20038721335624,186.37205711851595,0.0013607763676759532,0.0608026203832992,0.20038721335623677,2.3720571185159542,-0.01771357990159217,-0.05921912257511508,-0.6890367943851672,6.930500000180473,12.533499999790365
-405.csv,184.4,9,27.597015464111056,27.558087454901802,27.52011142900495,27.105399661265388,184.40739411648323,184.53929352693507,184.6683333752882,186.10145839867366,0.0073941164832262984,0.13929352693506303,0.26833337528819357,1.7014583986736511,-0.0389280092092541,-0.07690403510610722,-0.4916158028456685,4.0328000000044995,9.644299999990835
-404.csv,184.5,8,27.57378122989008,27.55485987663269,27.500566531821363,27.086640152340834,184.48607284583346,184.55024653114938,184.73488695934768,186.1673422691072,-0.013927154166538003,0.0502465311493836,0.23488695934767634,1.6673422691071949,-0.018921353257390194,-0.07321469806871761,-0.4871410775492464,3.19790000003195,7.166399999960049
-403.csv,184.6,9,27.556908948896755,27.533477147420246,27.484856219130176,27.09446207788505,184.54329256371136,184.62287628709146,184.78845300821598,186.1398601766,-0.05670743628863306,0.02287628709146361,0.18845300821598698,1.5398601766000013,-0.023431801476508696,-0.07205272976657895,-0.46244687101170356,2.5504000000182714,5.999499999916225
-398.csv,185.1,9,27.409392835001395,27.37623045179579,27.31583801877962,27.681354440820403,185.04662507843352,185.1605370929992,185.36870704532868,184.12292440382222,-0.05337492156647272,0.06053709299919774,0.26870704532868217,-0.9770755961777695,-0.03316238320560316,-0.09355481622177564,0.2719616058190084,5.189699999846198,9.776999999985492
-396.csv,185.3,8,27.35567683796738,27.30272889137268,27.258193962774378,27.382219950023718,185.23127941732366,185.4140174569911,185.56827949316124,185.1399425208285,-0.06872058267634884,0.11401745699109256,0.2682794931612307,-0.16005747917151325,-0.05294794659469915,-0.09748287519300192,0.026543112056337748,3.545799999983501,5.619799999976749
-394.csv,185.5,8,27.30782142250124,27.26891589164734,27.219533226516077,27.376462162372203,185.39641036236827,185.5310935194646,185.70261098638053,185.15974019787208,-0.10358963763172824,0.031093519464604924,0.20261098638053454,-0.3402598021279175,-0.0389055308539028,-0.08828819598516446,0.0686407398709612,2.1521999999549735,6.432199999835575
-388.csv,186.1,8,27.115683185826818,27.076032400131226,27.046509769789886,27.327879707708043,186.06538178851605,186.2046381087716,186.3085936741765,185.32712512819774,-0.03461821148394506,0.10463810877160995,0.20859367417651242,-0.7728748718022587,-0.039650785695592106,-0.06917341603693217,0.21219652188122495,4.455799999959709,7.309800000030009
-372.csv,187.7,9,26.682322310381583,26.644486321343315,26.62378702134812,25.513775485026702,187.61024941369877,187.74755871245694,187.8228460630339,192.04256905032338,-0.08975058630122135,0.047558712456947205,0.12284606303390433,4.342569050323391,-0.03783598903826757,-0.05853528903346117,-1.1685468253548805,2.629100000149265,5.987899999809088
-370.csv,187.9,9,26.632770831623283,26.585422939724392,26.563598648222133,25.550593199626846,187.7901555697701,187.96269940631922,188.04244182510178,191.89661331037124,-0.10984443022991286,0.06269940631921145,0.14244182510176984,3.996613310371231,-0.04734789189889099,-0.06917218340115028,-1.0821776319964371,2.4700000001303124,8.935699999938151
-369.csv,188.0,9,26.60838012456456,26.553301281399197,26.53747549442005,25.571891737230448,187.87896137544718,188.08011309506526,188.1380672607895,191.81237554100295,-0.1210386245528241,0.08011309506525777,0.13806726078951215,3.8123755410029503,-0.05507884316536504,-0.07090463014451132,-1.0364883873341135,3.4204000000954693,10.12259999993148
