epoch,lr,train_loss,val_loss,seg_mae,seg_rmse,seg_maxae,file_mae,file_rmse,file_maxae
1,0.0009757767261237446,0.003883290311176552,0.0035211855924261785,0.8391782078787545,0.8662958868653213,3.7027759552001953,0.8993890604897149,0.9877631193868407,2.9089179568820533
2,0.000905030583167573,0.000773043968862669,0.00013272604523693096,0.11959741494365941,0.16818987554525883,1.7540531158447266,0.3052870007166786,0.6680672484010629,3.550218370225693
3,0.000794686168200653,0.0005196609265900626,0.00020329146968621313,0.1875210098017042,0.2081523646067444,1.2148494720458984,0.3609551512248933,0.7155716660241296,3.746289571126301
4,0.0006555447613746935,0.00046965240877481384,0.00015518291716077083,0.16083041306968046,0.181862734699805,1.0417156219482422,0.33741350858930574,0.7091985190262114,3.737268235948349
5,0.0005012264930450057,0.00034923778683679626,0.0002695990109221333,0.22033875456480223,0.2397071482251188,0.8325462341308594,0.38633505749324015,0.7419034177383338,3.8735042148166237
6,0.00034683711051429803,0.00030174539184165967,0.0002884711319103045,0.23207151109927168,0.24795506983693777,0.9248065948486328,0.4001406339236668,0.7467395942882296,3.8532346089680978
7,0.00020748932223875645,0.0002774033043504915,0.0004680950877857264,0.30895410074251833,0.3158557693548988,0.7027454376220703,0.4754683939615885,0.7761881898602961,3.8642773098415795
8,9.682346062792178e-05,0.00022268844351143327,0.00017987460219004125,0.17255908752156196,0.19579733204663646,0.943450927734375,0.343600197898017,0.7212059816738555,3.818848927815754
9,2.5672271270659325e-05,0.00021720328242697315,0.0002151355596839137,0.19750396113529384,0.21413023226526867,0.8786087036132812,0.3686284852406334,0.7278849296082012,3.806569417317707
10,1.000528320744301e-06,0.00019789248223508994,0.00014767712208612184,0.15441155210833682,0.17741015302636381,0.9176483154296875,0.32938319198668947,0.7114785184509517,3.7709113226996536
11,0.0009939070199636454,0.0005650148467407748,0.0006961358200990439,0.3588069955879283,0.3851845208150205,0.6171398162841797,0.5256704126463996,0.8126636796350348,3.895666970147026
12,0.0009756648536519735,0.0003350670392643639,0.00019479420944943206,0.15972331751172789,0.20375564669841154,0.9270381927490234,0.34136761453416625,0.6984915424048175,3.719098197089302
13,0.0009457225516616529,0.00038998536880760514,0.0005375029996285546,0.328428700705555,0.3384638368295942,0.5624504089355469,0.48856892933921214,0.7924676435445652,3.9418093363444022
14,0.0009048173928404884,0.00026459934782575476,0.000504270313464314,0.312155681235768,0.3278336445814191,0.5376625061035156,0.4811338362618098,0.7765714242536004,3.854184044731987
15,0.0008539565979550958,0.0002654307264646976,0.0008202510302865695,0.39664309492735106,0.4181144672802468,0.5938396453857422,0.5542061028783284,0.8402984048843928,4.058329476250542
16,0.0007943925285728543,0.00033825017412348967,0.0004625587985811703,0.30834012610890044,0.3139823499833289,0.4876289367675781,0.47243711066624483,0.7767732853759945,3.8848957485622826
17,0.0007275918497637673,0.00024610834833258547,0.0003825621304959921,0.2692793485160186,0.2855438627139448,0.45151519775390625,0.4331638741114783,0.7695338822275751,3.9377475314670143
